tourney_name,tourney_date,winner_id,winner_name,winner_ioc
Australian Chps.,1968-01-19,100079.0,Bill Bowrey,AUS
Los Angeles,1968-09-14,100029.0,Rod Laver,AUS
Cincinnati,1968-07-07,109977.0,William Harris,USA
Barcelona,1968-06-07,100050.0,Martin Mulligan,AUS
Bournemouth,1968-04-22,100016.0,Ken Rosewall,AUS
US Open,1968-08-29,100074.0,Arthur Ashe,USA
U.S. National Chps.,1968-08-01,100074.0,Arthur Ashe,USA
Buenos Aires,1968-11-11,100022.0,Roy Emerson,AUS
Monte Carlo,1968-04-15,100012.0,Nicola Pietrangeli,ITA
Hamburg,1968-08-13,100087.0,John Newcombe,AUS
Rome,1968-05-06,100084.0,Tom Okker,NED
Paris Indoor,1968-02-09,100076.0,Milan Holecek,CZE
Kitzbuhel,1968-08-20,100050.0,Martin Mulligan,AUS
Gstaad,1968-07-21,100055.0,Cliff Drysdale,RSA
Philadelphia WCT,1968-02-08,100028.0,Manuel Santana,ESP
Dusseldorf,1968-07-08,100009.0,Istvan Gulyas,HUN
Wimbledon,1968-06-24,100029.0,Rod Laver,AUS
Hobart,1968-12-30,100030.0,Fred Stolle,AUS
Roland Garros,1968-05-27,100016.0,Ken Rosewall,AUS
Paris Indoor,1969-11-05,100084.0,Tom Okker,NED
Montreal / Toronto,1969-08-09,100128.0,Cliff Richey,USA
Cincinnati,1969-07-14,100128.0,Cliff Richey,USA
Los Angeles,1969-09-20,100005.0,Richard Pancho Gonzales,USA
Barcelona,1969-10-04,100174.0,Manuel Orantes,ESP
Stockholm Open,1969-11-01,100037.0,Nikola Pilic,CRO
Australian Open,1969-01-20,100029.0,Rod Laver,AUS
Wimbledon,1969-06-23,100029.0,Rod Laver,AUS
Buenos Aires,1969-11-11,100062.0,Francois Jauffret,FRA
Melbourne,1969-01-06,100126.0,Stan Smith,USA
Auckland,1969-01-29,100100.0,Tony Roche,AUS
Bournemouth,1969-04-28,100087.0,John Newcombe,AUS
Caracas,1969-03-03,100099.0,Thomaz Koch,BRA
Indianapolis,1969-07-21,100141.0,Zeljko Franulovic,CRO
Bastad,1969-07-07,100028.0,Manuel Santana,ESP
Boston,1969-07-09,100029.0,Rod Laver,AUS
Bristol,1969-06-09,100016.0,Ken Rosewall,AUS
Sydney,1969-01-13,100100.0,Tony Roche,AUS
Philadelphia WCT,1969-02-05,100029.0,Rod Laver,AUS
US Open,1969-08-27,100029.0,Rod Laver,AUS
Roland Garros,1969-05-28,100029.0,Rod Laver,AUS
Hilversum,1969-08-03,100084.0,Tom Okker,NED
Gstaad,1969-07-27,100022.0,Roy Emerson,AUS
Queen's Club,1969-06-16,100030.0,Fred Stolle,AUS
Monte Carlo,1969-04-15,100084.0,Tom Okker,NED
Barranquilla,1969-03-10,100119.0,Ilie Nastase,ROU
Hamburg,1969-08-11,100100.0,Tony Roche,AUS
Rome,1969-05-21,100087.0,John Newcombe,AUS
